,2021 - Multi-state Hemp Dual Purpose Trial (MHDPT) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Record Disease  and Insect Information if Present,,,,,,,,Notes: 
,,,,,,Grain Yield,Grain Yield,Dry Straw Yield,Dry Straw Yield,Plant Population at Establishment,Plant Population at Establishment,Plant Population at Harvest,Plant Population at Harvest,Total Plant Height at Harvest ,Total Plant Height at Harvest ,Stem Diameter at Harvest ,Stem Diameter at Harvest ,Time to 50%  flower (Male),Time to 50%  flower (Female Monoeciuos)  ,Male:Female,Harvest Moisture ,Protein Content ,Oil Content ,1000 Kernal Weight,Lodging,Hemp Leaf Spot ,Powdery Mildew ,Cercospora Leaf Spot ,Southern Blight,Fusarium Head Blight ,Russet Mites ,Corn Ear Worm,Hemp Borer ,
Site,Variety / Line,Rep,Entry,Plot #,,grams/m2,lbs./A,grams/m2,lbs./A,# plants/m2 ,plants/A,# plantsm2 ,plants/A,Mean (cm),SD (cm),Mean (mm),SD (mm),Days,Days ,,%,,,grams,(0-9),,,,,,,,,
Cornell,X59,2,,203,,104.9,936,86.1,768,87.7,,83.7,354969,,,,,,,,,,,,,,,,,,,,,
Cornell,X59,3,,301,,69.3,618,65.6,585,95.4,,73.3,386107,,,,,,,,,,,,,,,,,,,,,
Cornell,X59,4,,405,,159.4,1423,138.9,1240,69.2,,107.7,280239,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington, Altair,1,108,,,12.8,87.433542,102.39,690.4573281,,,30,121405.6926,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington, Altair,1,214,,,23.76,185.2163604,123.3,877.011957,,,27,109265.1233,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington, Altair,1,304,,,15.56,112.0576824,87.19,554.8461201,,,19,76890.27198,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington, Altair,1,409,,,12,80.29611,82.02,508.7204658,,,28,113311.9798,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington, Altair,2,108,,,11.55,76.2813045,110.08,759.0658932,,,22,89030.84124,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington, Altair,2,214,,,21.22,162.5550138,117.79,827.8528941,,,18,72843.41556,,,,,,,,,,,,,,,,,,,,,
Kansas_Lexington, Altair,2,304,,,14.57,103.2251103,84.5,530.846505,,,20,80937.1284,,,,,,,,,,,,,,,,,,,,,
